Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
CH 396	Turtle Mine (No Name Mine; Turtley)	44.37	-114.3075	160370341	W014341	206
CH 397	Buckshot	44.3956	-114.7272	160370967	N/A	N/A
CH 398	Letha Mine	44.3922	-114.7183	160370297	W014308	208
CH 399	Olga Marie (Moonbeam)	44.3925	-114.7283	160370970	N/A	N/A
CH 400	Julietta Mine (Juliette)	44.3903	-114.7219	160370298	W014309	209
CH 401	Kirtly	44.3878	-114.7214	160370488	N/A	211
CH 402	Charles Dickens Mine	44.3894	-114.7169	160370296	W014307	210
CH 403	Jordan Creek Placer	44.3867	-114.7256	160370168	W014191	212
CH 404	Morrison Mine (George Washington)	44.385	-114.7314	160370299	W014310	216
CH 405	Passover Mine (Last Chance)	44.3847	-114.7258	160370294	W014305	217
CH 406	Gold Lode 1-5	44.3828	-114.7433	160370958	N/A	N/A
CH 407	Fairplay Mine	44.3803	-114.7353	160370293	W014304	218
CH 408	Red Rock Prospect	44.3769	-114.7394	160370292	W014303	219
CH 409	Jesse Cloud (Gold Lode 6-10)	44.3694	-114.7439	160370959	N/A	N/A
CH 410	Holiday	44.3811	-114.72	160370962	N/A	N/A
CH 411	Runover Claim	44.3844	-114.7206	160370300	W014311	214
CH 412	Unnamed prospect	44.3861	-114.7175	160370481	N/A	213
CH 413	High Hopes	44.38	-114.7086	160370961	N/A	N/A
CH 414	Crazy Logger (Adair Creek Placer; Shoestring; Crazy Lumberjack)	44.3822	-114.6956	160370979	N/A	N/A
CH 415	Honey Girl	44.3844	-114.7006	160370963	N/A	N/A
CH 416	Bonanza Mine	44.385	-114.7122	160370028	W014306	215
CH 417	Unnamed prospect	44.3894	-114.705	160370487	N/A	221
CH 418	Trapper	44.3953	-114.6858	160370983	N/A	N/A
CH 419	Pilot-Beecher (Pilot; Copper Lode; Mountain King)	44.3936	-114.6881	8	N/A	N/A
CH 420	Dubuque	44.3919	-114.685	160370486	FS00433	222
CH 421	Long View Mine (Longview)	44.3847	-114.68	160370303	W014314	223
CH 422	General Custer Mine (Custer)	44.3786	-114.685	160370301	W014312	224
CH 423	Idaho Prospect (Enterprise; Custer Slide; Independence)	44.3806	-114.6761	160370302	W014313	225
CH 424	Vishneo Lode (Vishneu)F	44.3794	-114.6792	160370304	W014315	228
CH 425	Mullan Lode Prospects	44.3772	-114.6797	160370315	W014326	227
CH 426	McClure Prospect	44.3772	-114.6708	160370310	W014321	243
CH 427	Atlantic	44.3758	-114.6664	160370318	N/A	235
CH 428	Continental Mine	44.3747	-114.6686	160370308	W014319	244
CH 429	Anna	44.3739	-114.6794	160370317	N/A	239
CH 430	Lucky Boy Mine	44.3731	-114.6789	160370314	W014325	230
CH 431	Badger Mine	44.3733	-114.6708	160370313	W014324	231
CH 432	Yellow Bird Prospect	44.3711	-114.6694	160370312	W014323	245
CH 433	Black Mine (Oxarna Mine; American Dollar Mine)	44.3703	-114.6728	160370307	W014318	246
CH 434	Fourth of July Mine (Peak)	44.3722	-114.6678	160370309	W014320	247
CH 435	Wire Silver Prospects	44.3639	-114.6728	160370316	W014328	248
CH 436	Silver Queen Group (Silver Star; Monte Carlo)	44.3733	-114.6567	160370508	N/A	N/A
CH 437	King Solomon 1-4	44.3697	-114.65	N/A	N/A	N/A
CH 438	Gray Eagle Mine (Bachelor Mountain Mine)	44.3725	-114.6444	160370306	W014317	250
CH 439	Dorothy Prospect	44.37	-114.6442	160370305	W014316	251
CH 440	Hartford	44.37	-114.6967	160370321	N/A	233
CH 441	Combination	44.3686	-114.6939	160370320	N/A	237
CH 442	Unnamed prospect	44.3686	-114.6875	160370326	N/A	238
CH 443	Unnamed prospect	44.3678	-114.6992	160370328	N/A	234
CH 444	Helen's Mine Placer	44.37	-114.7294	160370960	N/A	N/A
CH 445	Hygrade & Windfall	44.3597	-114.7292	160370964	N/A	N/A
CH 446	S & J (Sandy J Group)	44.3664	-114.7178	160370879	N/A	N/A
CH 447	Summit	44.3642	-114.6906	160370323	N/A	240
CH 448	Columbia	44.3622	-114.695	160370319	N/A	241
