Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
DU 384	Blue Jay Mine (New Departure)	44.6128	-113.5594	160590280	D000484	338
DU 386	Silver Queen	44.5961	-113.5456	N/A	N/A	N/A
DU 387	Unnamed location	44.5897	-113.5886	160590282	N/A	340
DU 388	Ray Lode	44.5867	-113.5603	160590283	N/A	341
DU 389	Jaybird	44.5706	-113.5789	160590437	N/A	342
DU 392	Silver Group	44.5489	-113.6597	160590855	N/A	N/A
DU 395	Rosebud Claims (Kentuck Mine)	44.5461	-113.7169	160590004	W015863	321
DU 397	Beverly Ann Prospect (Gini & MacDonald; General Electric-Miller Mine; Miller; Mazda Claims; Twin Shafts)	44.5375	-113.7097	160590003	W015815	325
DU 398	Compton Claims	44.5342	-113.6864	160590285	W015862	327
DU 399	Ima Mine (Blue Wing-Ima Mine; Idaho Tungsten; Tungsten Gate)	44.5328	-113.6911	160590002	W015795	328
DU 400	Ida Tungsten (Idaho)	44.5336	-113.6747	160590005	N/A	330
DU 401	Ima Mill Tailings	44.5297	-113.6883	160590010	N/A	329
DU 403	Unnamed prospect	44.5378	-113.6167	160590874	N/A	N/A
DU 404	Yellow Peak	44.5347	-113.5172	160590873	N/A	343
DU 406	Sunshine	44.5033	-113.4358	160590286	N/A	345
DU 407	Silver Moon Mine (Universal Exploration)	44.4983	-113.4169	N/A	W018794	347
DU 408	Roosevelt	44.4825	-113.4239	160590854	FS00448	362
DU 409	Trey	44.4847	-113.4089	160590839	FS00445	363
DU 410	Unnamed prospect	44.4528	-113.4414	160590903	N/A	N/A
DU 411	Pay Day Group (Herbert Carlyle Prospect)	44.4706	-113.4269	160590289	N/A	364
DU 412	Idaho	44.4486	-113.4019	160590835	FS00446	362
DU 413	Oregon Group	44.4611	-113.4514	160590303	FS00444	361
DU 414	Lady May (Gold Canyon Mining Co.; Myrtle Bell; Carlyle Prospect)	44.4569	-113.4317	160590819	N/A	216
DU 415	Wanda Loy	44.3742	-113.3567	160590401	N/A	367
DU 416	Wells Cobalt Prospect	44.4589	-113.6153	160590426	N/A	359
DU 417	Big Creek Prospects	44.4417	-113.6042	160370459	W015818	360
DU 440	Davis Canyon Prospect	44.3244	-113.1981	160590896	N/A	N/A
DU 441	Lost Cabin	44.3067	-113.21	160590898	N/A	N/A
DU 442	Mammoth Canyon Prospect No. 2	44.2944	-113.2094	160590901	N/A	N/A
DU 443	Mammoth Canyon Prospect No. 3	44.285	-113.2275	160590902	N/A	N/A
