"SequenceNumber","Names","NameKey","CompositeName","Metric","AutoNumber","Initials"
"DU0094","Unnamed prospect","DU0094-11898","Unnamed prospect",1,3613,
"DU0095","Gage Prospect","DU0095-03686","Gage Prospect",1,3614,
"DU0096","Black Rock","DU0096-01018","Black Rock",1,3615,
"DU0097","Scott Prospect","DU0097-09479","Scott Prospect",1,3616,
"DU0098","Tago No. 15 Claim","DU0098-07636","Tago No. 15 Claim (No. 168 Thorium Deposit)",1,3617,
"DU0098","No. 168 Thorium Deposit","DU0098-10698","Tago No. 15 Claim (No. 168 Thorium Deposit)",1,3618,
"DU0099","No. 167 Thorium Deposit","DU0099-07635","No. 167 Thorium Deposit",1,3619,
"DU0100","Sunnyside Manganese","DU0100-03540","Sunnyside Manganese (Flying Eagle)",1,3620,
"DU0100","Flying Eagle","DU0100-10576","Sunnyside Manganese (Flying Eagle)",1,3621,
"DU0101","Barbara","DU0101-00550","Barbara",1,3622,
"DU0102","Ellis","DU0102-03247","Ellis",1,3623,
"DU0103","No. 174 Thorium Deposit","DU0103-07638","No. 174 Thorium Deposit",1,3624,
"DU0104","No. 173 Thorium Deposit","DU0104-07637","No. 173 Thorium Deposit",1,3625,
"DU0105","No. 176 Thorium Deposit","DU0105-07639","No. 176 Thorium Deposit",1,3626,
"DU0106","Brown Bear No. 2 Prospect","DU0106-01432","Brown Bear No. 2 Prospect",1,3627,
"DU0107","Skyline No. 1 Prospect","DU0107-09938","Skyline No. 1 Prospect",1,3628,
"DU0108","Black Widow Nos. 15 and 16 Prospect","DU0108-01033","Black Widow Nos. 15 and 16 Prospect",1,3629,
"DU0109","Thorite No. 1 Prospect","DU0109-09346","Thorite No. 1 Prospect (Saddlerock)",1,3630,
"DU0109","Saddlerock","DU0109-10817","Thorite No. 1 Prospect (Saddlerock)",1,3631,
"DU0110","Chief Tendoy Group","DU0110-01963","Chief Tendoy Group",1,3632,
"DU0111","Elkhorn Group","DU0111-03235","Elkhorn Group",1,3633,
"DU0112","Dixie Claim Group","DU0112-02896","Dixie Claim Group",1,3634,
"DU0113","No. 179 Thorium Deposit","DU0113-07640","No. 179 Thorium Deposit",1,3635,
"DU0114","Lake Claim Group","DU0114-05792","Lake Claim Group",1,3636,
"DU0115","Little Chief Group","DU0115-06119","Little Chief Group",1,3637,
"DU0116","Atomic Blast Nos. 7 and 8 Prospect","DU0116-00403","Atomic Blast Nos. 7 and 8 Prospect",1,3638,
"DU0117","North Fork Yearian Creek Thorite Claims","DU0117-07699","North Fork Yearian Creek Thorite Claims",1,3639,
"DU0118","Big Thor Nos. 1 and 2 Vein Prospect","DU0118-00884","Big Thor Nos. 1 and 2 Vein Prospect",1,3640,
"DU0119","No. 101 Thorium Deposit","DU0119-07612","No. 101 Thorium Deposit",1,3641,
"DU0120","No. 99 Thorium Deposit","DU0120-07658","No. 99 Thorium Deposit",1,3642,
"DU0121","No. 100 Thorium Deposit","DU0121-07611","No. 100 Thorium Deposit",1,3643,
"DU0122","No. 103 Thorium Deposit","DU0122-07613","No. 103 Thorium Deposit",1,3644,
"DU0123","Nita-Louise Group","DU0123-07594","Nita-Louise Group",1,3645,
"DU0124","Mornell","DU0124-07256","Mornell",1,3646,
"DU0125","South Fork Yearian Creek Thorite Claims","DU0125-10192","South Fork Yearian Creek Thorite Claims (Thorite No. 7 Claim)",1,3647,
"DU0125","Thorite No. 7 Claim","DU0125-10820","South Fork Yearian Creek Thorite Claims (Thorite No. 7 Claim)",1,3648,
"DU0126","Unnamed prospect","DU0126-11888","Unnamed prospect",1,3649,
"DU0127","Baltimore Group","DU0127-00523","Baltimore Group",1,3650,
"DU0128","J. M. B. Mine","DU0128-05360","J. M. B. Mine",1,3651,
"DU0129","Unnamed prospect","DU0129-11886","Unnamed prospect",1,3652,
"DU0130","Unnamed prospect","DU0130-11889","Unnamed prospect",1,3653,
"DU0131","ThO2 No. 11","DU0131-10796","Thorite No. 11 Claim (ThO2 No. 11)",1,3654,
"DU0131","Thorite No. 11 Claim","DU0131-10818","Thorite No. 11 Claim (ThO2 No. 11)",1,3655,
"DU0132","ThO2","DU0132-10795","ThO2",1,3656,
"DU0133","No. 191 Thorium Deposit","DU0133-07644","No. 191 Thorium Deposit",1,3657,
"DU0134","Thor Nos. 1 and 2","DU0134-10815","Thor Nos. 1 and 2",1,3658,
"DU0135","Thor No. 7","DU0135-10814","Thor No. 7",1,3659,
"DU0136","Lucky Strike No. 2","DU0136-06528","Lucky Strike No. 2",1,3660,
"DU0137","Lucky Strike No. 3","DU0137-06529","Lucky Strike No. 3",1,3661,
"DU0138","Elkhorn","DU0138-03232","Elkhorn",1,3662,
"DU0139","No. 110 Thorium Deposit","DU0139-07615","No. 110 Thorium Deposit",1,3663,
"DU0140","ThO2 Nos. 5 and 6","DU0140-10797","ThO2 Nos. 5 and 6",1,3664,
"DU0141","Hematite Prospect","DU0141-04663","Hematite Prospect (Reese Creek Iron Deposit)",1,3665,
"DU0141","Reese Creek Iron Deposit","DU0141-09051","Hematite Prospect (Reese Creek Iron Deposit)",1,3666,
"DU0142","Chief Tendoy Nos. 13 and 14","DU0142-01967","Chief Tendoy Nos. 13 and 14",1,3667,
"DU0143","Chief Tendoy No. 6","DU0143-01966","Chief Tendoy No. 6",1,3668,
"DU0144","Chief Tendoy No. 3","DU0144-01965","Chief Tendoy No. 3",1,3669,
"DU0145","Nos. 117, 118, and 119 Thorium Deposits","DU0145-07769","Nos. 117, 118, and 119 Thorium Deposits",1,3670,
"DU0146","Unnamed prospect","DU0146-11899","Unnamed prospect",1,3671,
