"SequenceNumber","Location_type","lon_WGS84","lat_WGS84"
"BA0126",0,-116.007715479,44.4045314566
"BA0127",0,-116.560534124,44.6423256784
"BA0128",0,-116.476130839,44.5756267851
"BA0129",0,-116.846939759,44.4845247607
"BA0130",0,-116.845239681,44.48232479
"BA0131",0,-116.919441245,44.449224499
"BA0132",0,-116.910240882,44.4415246264
"BA0133",0,-116.863939183,44.41172519889999
"BA0134",0,-116.866439042,44.39702529549999
"BA0135",0,-116.968642173,44.419824365
"BA0136",0,-116.95754171,44.40872453359999
"BA0137",0,-116.910840205,44.3931249997
"BA0138",0,-116.916940298,44.3879249957
"BA0139",0,-117.024442572,44.340924576
"BA0140",3,-117.154174982,44.26149425809999
"BA0141",0,-117.164145327,44.2665241433
"BA0142",3,-117.155015157,44.27204416599999
"BA0143",0,-117.150045045,44.27372418909999
"BA0144",0,-117.153945004,44.263424244
"BA0145",0,-117.14804493,44.269524238
"BA0146",3,-117.092783806,44.296494428
"BA0147",0,-117.063642973,44.2940246631
"BA0148",3,-116.943059997,44.31676536849999
"BA0149",0,-116.923339492,44.3192254938
"BA0150",3,-116.901949148,44.3362155153
"BA0151",0,-116.884138755,44.3429255927
"BA0152",0,-116.85553786,44.33512586459999
"BA0153",3,-116.759445215,44.334546573
"BA0154",0,-116.963340173,44.29012543349999
"BA0155",0,-116.96834002,44.2698255609
"BA0156",3,-116.937779287,44.2770457271
"BA0157",0,-116.965539615,44.24672576939999
"BA0158",0,-116.971939652,44.2370258015
"BA0159",0,-116.803035847,44.2948265717
"BA0160",0,-116.782735003,44.2745268837
"BA0161",0,-116.864436868,44.24812649979999
"BA0162",0,-116.791634552,44.22542721759999
"BA0163",3,-116.717222858,44.2498275619
