Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
HA1203	Croy Creek Deposit	43.4519	-114.4406	160130169	D001138	785
HA1205	Unnamed location	43.4408	-114.4561	160130281	N/A	791
HA1206	Overlook Prospect	43.4397	-114.4406	160130001	N/A	792
HA1207	Primitive Claims Prospect	43.4339	-114.4714	160130483	W013797	787
HA1208	Unnamed location	43.4294	-114.4742	160130292	N/A	789
HA1209	Treasure Vault Mine (Hattie)	43.4306	-114.455	160130159	W013680	832
HA1210	Rustler Claims Mine (Donovan Mine)	43.4317	-114.4503	160130160	W013795	790
HA1211	Winner Prospect (Jennie May)	43.4308	-114.4442	160130162	W013810	788
HA1212	Oriental Mine	43.4325	-114.4278	160130161	W013809	793
HA1214	Unnamed prospects	43.4203	-114.4128	160130271	N/A	803
HA1215	Jennie R. Mine (Montezuma)	43.4183	-114.4253	160130101	W013683	801
HA1216	Unnamed location	43.4156	-114.4447	160130284	N/A	800
HA1217	Tip Top Mine	43.4156	-114.4611	160130157	W013813	795
HA1218	Camas Mine (Camas No. 2; Daisy Mine)	43.4119	-114.4781	160130155	W013794	796
HA1219	Unnamed mine	43.4103	-114.4256	160130277	N/A	804
HA1220	Unnamed location	43.4056	-114.4419	160130276	N/A	802
HA1221	Black Cinder Mine	43.4058	-114.4739	160130156	W013812	797
HA1222	Golden Star Mine	43.4008	-114.4619	160130158	W013811	798
HA1223	Unnamed location	43.4014	-114.4578	160130275	N/A	799
HA1225	Unnamed location	43.4492	-114.4864	160130283	N/A	780
HA1226	Jumbo Mine	43.455	-114.4956	160130166	W013893	778
HA1227	Unnamed location	43.4472	-114.4967	160130290	N/A	779
HA1228	Uranium Strike Prospect (Walker Prospect)	43.4331	-114.4864	160130482	W013796	786
HA1229	Burning Moscow-Flemming Prospect	43.4183	-114.5031	160130163	W013890	781
HA1231	Unnamed location	43.3922	-114.4883	160130279	N/A	784
HA1237	Red Rock Mine	43.4258	-114.515	160130167	W013896	775
HA1238	Happy Day Mine	43.4428	-114.5203	160130165	W013814	776
HA1239	Champlain Mine	43.44	-114.5261	160130164	W013892	777
